SR NO.,Player,Match,Inns,NOT OUT,Runs,HS,Ave,SR,BF,100,50
638,AR Adams,42,34,10,419,45,17.45,100.47,417,0,1
639,FH Allen,22,21,0,582,96,27.71,93.26,624,5,3
640,GI Allott,31,11,6,17,7,3.4,30.35,56,0,2
641,CJ Anderson,49,45,5,1109,131,27.72,108.72,1020,4,4
642,RW Anderson,2,2,1,16,12,16,34.78,46,0,0
643,A Ashok,2,1,0,10,10,10,83.33,12,0,0
644,NJ Astle,223,217,14,7090,145,34.92,72.64,9760,41,19
645,TD Astle,9,5,2,79,49,26.33,102.59,77,0,0
646,MD Bates,2,1,0,13,13,13,130,10,0,0
647,MD Bell,7,7,0,133,66,19,49.62,268,1,0
648,HK Bennett,19,7,5,10,4,5,28.57,35,0,1
649,TE Blain,38,38,11,442,49,16.37,66.76,662,0,6
650,BR Blair,14,14,2,174,29,14.5,68.77,253,0,2
651,TA Blundell,12,12,3,266,68,29.55,86.64,307,2,0
652,SE Bond,82,40,22,292,31,16.22,76.04,384,0,2
653,SL Boock,14,7,4,30,12,10,96.77,31,0,1
654,TA Boult,114,52,28,216,21,9,77.41,279,0,2
655,CJ Bowes,6,6,0,99,51,16.5,83.19,119,1,0
656,DAJ Bracewell,21,14,2,221,57,18.41,80.65,274,1,1
657,JG Bracewell,53,43,12,512,43,16.51,71.4,717,0,6
658,MG Bracewell,19,16,4,510,140,42.5,118.6,430,0,0
659,GE Bradburn,11,10,3,60,30,8.57,46.15,130,0,1
660,NT Broom,39,39,4,943,109,26.94,81.22,1161,5,7
661,VR Brown,3,3,0,44,32,14.66,51.76,85,0,0
662,DG Brownlie,16,15,1,361,63,25.78,74.27,486,1,0
663,CE Bulfin,4,2,1,9,7,9,112.5,8,0,0
664,MG Burgess,26,20,0,336,47,16.8,65.24,515,0,1
665,IG Butler,26,13,5,84,25,10.5,54.54,154,0,2
666,BL Cairns,78,65,6,987,60,16.72,104.88,941,2,6
667,CL Cairns,214,192,25,4881,115,29.22,83.76,5827,25,9
668,TK Canning,4,4,1,52,23,17.33,71.23,73,0,1
669,MS Chapman,21,18,2,335,101,20.93,113.94,294,0,1
670,EJ Chatfield,114,48,37,118,19,10.72,34.1,346,0,6
671,JA Clarkson,3,2,0,17,16,8.5,70.83,24,0,0
672,D Cleaver,1,1,0,32,32,32,86.48,37,0,0
673,RO Collinge,15,9,3,34,9,5.66,54.83,62,0,1
674,PG Coman,3,3,0,62,38,20.66,59.61,104,0,1
675,JV Coney,88,80,19,1874,66,30.72,64.95,2885,8,1
676,BE Congdon,11,9,3,338,101,56.33,71.61,472,2,0
677,DP Conway,32,31,3,1246,152,44.5,89.76,1388,3,2
678,JJ Crowe,75,71,12,1518,88,25.72,61.8,2456,7,6
679,MD Crowe,143,140,18,4704,107,38.55,72.63,6477,34,3
680,CD Cumming,13,13,1,161,45,13.41,53.48,301,0,3
681,HT Davis,11,6,4,13,7,6.5,39.39,33,0,1
682,C de Grandhomme,45,35,7,742,74,26.5,106.15,699,4,2
683,RP de Groen,12,8,3,12,7,2.4,33.33,36,0,4
684,AP Devcich,12,11,0,195,58,17.72,77.07,253,1,2
685,BJ Diamanti,1,1,1,26,26,0,118.18,22,0,0
686,MW Douglas,6,6,0,55,30,9.16,44.71,123,0,1
687,SB Doull,42,27,13,172,22,12.28,91.48,188,0,2
688,CJ Drum,5,2,2,9,7,0,40.9,22,0,0
689,JA Duffy,6,2,1,1,1,1,16.66,6,0,1
690,BA Edgar,64,64,5,1814,102,30.74,49.22,3685,10,3
691,GN Edwards,6,6,0,138,41,23,72.25,191,0,1
692,GD Elliott,83,69,11,1976,115,34.06,81.78,2416,11,6
693,AM Ellis,15,12,1,154,33,14,83.69,184,0,1
694,LH Ferguson,65,30,13,122,19,7.17,51.69,236,0,4
695,SP Fleming,279,268,21,8007,134,32.41,71.4,11214,49,17
696,DR Flynn,20,17,2,228,35,15.2,63.33,360,0,3
697,JEC Franklin,110,80,27,1270,98,23.96,76.92,1651,4,5
698,TJ Franklin,3,3,0,27,21,9,30.33,89,0,1
699,PG Fulton,49,46,5,1334,112,32.53,72.77,1833,8,2
700,LK Germon,37,31,5,519,89,19.96,65.94,787,3,2
701,MR Gillespie,32,14,8,93,28,15.5,78.81,118,0,1
702,SR Gillespie,19,11,5,70,18,11.66,66.03,106,0,1
703,EJ Gray,10,7,1,98,38,16.33,42.6,230,0,0
704,MJ Greatbatch,84,83,5,2206,111,28.28,71.18,3099,13,7
705,MJ Guptill,198,195,19,7346,237,41.73,87.29,8416,39,16
706,BG Hadlee,2,2,1,26,19,26,27.95,93,0,0
707,DR Hadlee,11,7,2,40,20,8,47.05,85,0,3
708,Sir RJ Hadlee,115,98,17,1751,79,21.61,75.5,2319,4,4
709,LJ Hamilton,2,2,2,3,2,0,50,6,0,0
710,CZ Harris,250,213,62,4379,130,29,66.51,6584,16,12
711,MN Hart,13,8,0,61,16,7.62,60.39,101,0,1
712,RT Hart,1,1,0,3,3,3,10.34,29,0,0
713,BR Hartland,16,16,1,311,68,20.73,49.91,623,2,1
714,MJ Haslam,1,1,0,9,9,9,50,18,0,0
715,BF Hastings,11,9,1,151,37,18.87,55.71,271,0,1
716,RL Hayes,1,1,0,13,13,13,52,25,0,0
717,MJ Henry,82,35,12,255,48,11.08,92.05,277,0,7
718,PA Hitchcock,14,7,3,41,11,10.25,67.21,61,0,1
719,GJ Hopkins,25,17,1,236,45,14.75,75.88,311,0,3
720,MJ Horne,50,48,0,980,74,20.41,64.68,1515,5,3
721,PA Horne,4,4,0,50,18,12.5,40.98,122,0,1
722,JM How,41,37,1,1046,139,29.05,66.53,1572,7,3
723,GP Howarth,70,65,5,1384,76,23.06,60.14,2301,6,1
724,HJ Howarth,9,5,2,18,11,6,69.23,26,0,1
725,LG Howell,12,12,0,287,68,23.91,73.96,388,4,1
726,PJ Ingram,8,7,0,193,69,27.57,81.09,238,1,0
727,KA Jamieson,13,6,2,83,25,20.75,81.37,102,0,0
728,AH Jones,87,87,9,2784,93,35.69,57.86,4812,25,4
729,RA Jones,5,5,0,168,63,33.6,51.06,329,1,0
730,RJ Kennedy,7,4,3,17,8,17,113.33,15,0,0
731,CM Kuggeleijn,16,11,2,142,40,15.77,63.67,223,0,1
732,SC Kuggeleijn,2,1,1,11,11,0,183.33,6,0,0
733,GR Larsen,121,70,27,629,37,14.62,64.84,970,0,6
734,RT Latham,33,33,4,583,60,20.1,57.83,1008,1,3
735,TWM Latham,147,134,17,4099,145,35.03,85.71,4782,24,11
736,WK Lees,31,24,5,215,26,11.31,70.03,307,0,1
737,BG Lister,3,3,2,10,5,10,71.42,14,0,0
738,MJ McClenaghan,48,14,10,108,34,27,78.26,138,0,0
739,BB McCullum,260,228,28,6083,166,30.41,96.37,6312,32,20
740,NL McCullum,84,62,11,1070,65,20.98,87.7,1220,4,3
741,PE McEwan,17,15,0,204,41,13.6,58.95,346,0,0
742,PD McGlashan,4,2,1,63,56,63,123.52,51,1,0
743,AJ McKay,19,10,7,12,4,4,25.53,47,0,3
744,BJ McKechnie,14,8,4,54,27,13.5,37.24,145,0,1
745,CD McMillan,197,183,16,4707,117,28.18,75.94,6198,28,9
746,EB McSweeney,16,14,5,73,18,8.11,61.34,119,0,2
747,HJH Marshall,66,62,9,1454,101,27.43,73.06,1990,12,3
748,JAH Marshall,10,10,0,250,161,25,79.87,313,1,2
749,CS Martin,20,7,2,8,3,1.6,29.62,27,0,2
750,MJ Mason,26,7,4,24,13,8,53.33,45,0,1
751,CE McConchie,6,5,2,126,64,42,99.21,127,1,0
752,KD Mills,170,101,34,1047,54,15.62,81.66,1282,2,8
753,AF Milne,49,22,8,180,36,12.85,87.8,205,0,3
754,DJ Mitchell,39,35,5,1577,134,52.56,98.07,1608,5,0
755,DK Morrison,96,43,24,171,20,9,42.75,400,0,7
756,JFM Morrison,18,15,3,252,55,21,53.38,472,1,0
757,C Munro,57,53,2,1271,87,24.92,104.69,1214,8,7
758,DJ Murray,1,1,0,3,3,3,17.64,17,0,0
759,DJ Nash,81,53,13,624,42,15.6,66.38,940,0,3
760,JDS Neesham,76,65,12,1495,97,28.2,99.93,1496,7,3
761,TS Nethula,5,3,1,12,9,6,109.09,11,0,1
762,CJ Nevin,37,36,0,732,74,20.33,73.2,1000,4,4
763,HM Nicholls,75,73,15,2056,124,35.44,81.07,2536,15,6
764,RJ Nicol,22,21,2,586,146,30.84,75.51,776,2,2
765,W O'Rourke,3,1,0,1,1,1,20,5,0,0
766,IE O'Brien,10,2,2,3,3,0,27.27,11,0,0
767,SB O'Connor,38,13,6,24,8,3.42,26.37,91,0,3
768,JDP Oram,160,116,15,2434,101,24.09,86.61,2810,13,8
769,DR O'Sullivan,3,2,1,2,1,2,40,5,0,0
770,MHW Papps,6,6,2,207,92,51.75,60.52,342,2,0
771,JM Parker,24,20,0,248,66,12.4,61.53,403,1,1
772,AC Parore,179,161,32,3314,108,25.68,68.09,4867,14,19
773,DN Patel,75,63,10,623,71,11.75,71.77,868,1,6
774,JS Patel,43,15,8,95,34,13.57,58.64,162,0,1
775,AJ Penn,5,3,1,23,15,11.5,69.69,33,0,0
776,RG Petrie,12,8,3,65,21,13,59.63,109,0,1
777,GD Phillips,30,24,3,735,72,35,97.48,754,4,0
778,V Pollard,3,2,0,67,55,33.5,46.2,145,1,0
779,MW Priest,18,14,4,103,24,10.3,45.77,225,0,2
780,C Pringle,64,41,19,193,34,8.77,75.39,256,0,3
781,R Ravindra,25,21,1,820,123,41,108.03,759,3,2
782,AJ Redmond,6,6,0,152,52,25.33,58.68,259,1,0
783,RE Redmond,2,1,0,3,3,3,27.27,11,0,0
784,JF Reid,25,24,1,633,88,27.52,58.39,1084,4,0
785,RB Reid,9,9,0,248,64,27.55,55.35,448,2,0
786,MH Richardson,4,4,0,42,26,10.5,43.29,97,0,1
787,ADG Roberts,1,1,0,16,16,16,66.66,24,0,0
788,SJ Roberts,2,1,1,1,1,0,50,2,0,0
789,GK Robertson,10,6,0,49,17,8.16,102.08,48,0,1
790,L Ronchi,81,66,9,1321,170,23.17,111.66,1183,3,7
791,HD Rutherford,4,4,0,15,11,3.75,26.78,56,0,0
792,KR Rutherford,121,115,9,3143,108,29.65,64.3,4888,18,6
793,JD Ryder,48,42,1,1362,107,33.21,95.31,1429,6,5
794,MJ Santner,104,78,29,1355,67,27.65,91.24,1485,3,3
795,TL Seifert,3,2,0,33,22,16.5,122.22,27,0,0
796,HB Shipley,8,6,1,18,7,3.6,46.15,39,0,2
797,MS Sinclair,54,50,4,1304,118,28.34,62.51,2086,8,8
798,IDS Smith,98,77,16,1055,62,17.29,99.43,1061,3,7
799,MC Snedden,93,54,19,535,64,15.28,63.46,843,1,4
800,IS Sodhi,51,24,4,201,35,10.05,72.82,276,0,5
801,TG Southee,161,96,35,740,55,12.13,95.97,771,1,13
802,CM Spearman,51,50,0,936,86,18.72,77.87,1202,5,6
803,SL Stewart,4,4,0,26,14,6.5,44.06,59,0,0
804,DA Stirling,6,5,2,21,13,7,53.84,39,0,0
805,SB Styris,188,161,23,4483,141,32.48,79.41,5645,28,9
806,ML Su'a,12,7,2,24,12,4.8,42.85,56,0,0
807,GP Sulzberger,3,2,1,9,6,9,60,15,0,0
808,AR Tait,5,5,2,35,13,11.66,109.37,32,0,0
809,BR Taylor,2,1,0,22,22,22,52.38,42,0,0
810,LRPL Taylor,236,220,39,8607,181,47.55,83.32,10330,51,9
811,SA Thomson,56,52,10,964,83,22.95,67.55,1427,5,2
812,BM Tickner,13,7,5,16,6,8,57.14,28,0,0
813,GB Troup,22,12,8,101,39,25.25,72.14,140,0,0
814,DR Tuffey,94,52,21,295,36,9.51,79.3,372,0,7
815,GM Turner,41,40,6,1598,171,47,68.05,2348,9,1
816,RG Twose,87,81,11,2717,103,38.81,75.4,3603,20,5
817,RH Vance,8,8,0,248,96,31,51.55,481,1,0
818,JTC Vaughan,18,16,7,162,33,18,62.06,261,0,0
819,DL Vettori,291,183,55,2201,83,17.19,82.83,2657,4,22
820,L Vincent,102,99,10,2413,172,27.11,69.88,3453,11,8
821,GE Vivian,1,1,0,14,14,14,46.66,30,0,0
822,KJ Wadsworth,13,10,1,258,104,28.66,77.24,334,0,1
823,BGK Walker,11,7,4,47,16,15.66,59.49,79,0,0
824,MDJ Walker,3,1,0,10,10,10,166.66,6,0,0
825,BJ Watling,28,25,2,573,96,24.91,68.37,838,5,3
826,W Watson,61,24,13,86,21,7.81,47.77,180,0,3
827,PN Webb,5,5,1,38,10,9.5,37.62,101,0,0
828,RJ Webb,3,1,1,6,6,0,60,10,0,0
829,BM Wheeler,6,4,4,58,39,0,123.4,47,0,0
830,DJ White,3,3,0,37,15,12.33,38.14,97,0,0
831,KS Williamson,165,157,17,6810,148,48.64,81.38,8368,45,5
832,JW Wilson,6,6,1,103,44,20.6,91.96,112,0,1
833,PJ Wiseman,15,7,5,45,16,22.5,54.21,83,0,0
834,WA Wisneski,3,2,1,10,6,10,58.82,17,0,0
835,LJ Woodcock,4,2,1,14,11,14,63.63,22,0,0
836,GH Worker,10,10,2,272,58,34,71.76,379,3,0
837,JG Wright,149,148,1,3891,101,26.46,57.18,6805,24,9
838,BA Young,74,73,5,1668,74,24.52,61.03,2733,9,5
839,WA Young,31,31,3,1244,120,44.42,87.91,1415,8,3
840,KN Amalean,8,3,1,15,9,7.5,57.69,26,0,0
841,MKDI Amerasinghe,8,4,4,6,5,0,66.66,9,0,0
842,SD Anurasiri,45,18,12,62,11,10.33,43.35,143,0,2
843,MA Aponso,9,7,4,10,4,3.33,22.22,45,0,1
844,SSD Arachchige,5,3,0,89,57,29.66,66.41,134,1,0
845,RP Arnold,180,155,43,3950,103,35.26,72.57,5443,28,7
846,KIC Asalanka,53,46,5,1661,110,40.51,89.06,1865,10,3
847,MS Atapattu,268,259,32,8529,132,37.57,67.72,12595,59,13
848,HMCM Bandara,31,17,4,160,31,12.3,71.42,224,0,3
849,KMC Bandara,1,1,1,1,1,0,33.33,3,0,0
850,KNA Bandara,6,5,1,141,55,35.25,64.97,217,2,0
851,M Bhanuka,6,6,0,140,36,23.33,72.16,194,0,0
852,JWHD Boteju,2,2,1,3,2,3,27.27,11,0,0
853,PVD Chameera,51,35,12,266,29,11.56,60.59,439,0,3
854,UDU Chandana,147,111,17,1627,89,17.3,72.99,2229,5,8
855,LD Chandimal,157,142,21,3854,111,31.85,74.24,5191,24,11
856,A Dananjaya,39,30,6,291,50,12.12,69.78,417,1,3
857,S Daniel,1,1,0,12,12,12,42.85,28,0,0
858,PB Dassanayake,16,10,2,85,20,10.62,59.85,142,0,0
859,RG de Alwis,31,27,8,401,59,21.1,78.32,512,2,2
860,ALF de Mel,57,41,9,466,36,14.56,78.31,595,0,6
861,SI de Saram,15,13,2,183,38,16.63,67.77,270,0,0
862,DM de Silva,90,82,10,1865,93,25.9,78.59,2373,10,4
863,AM de Silva,4,2,0,12,8,6,50,24,0,0
864,DLS de Silva,2,1,0,10,10,10,28.57,35,0,0
865,DS de Silva,41,29,10,371,37,19.52,53.69,691,0,0
866,EAR de Silva,28,20,6,138,19,9.85,57.26,241,0,2
867,GN de Silva,4,2,1,9,7,9,50,18,0,0
868,GRA de Silva,6,4,2,9,6,4.5,27.27,33,0,1
869,KSC de Silva,38,19,13,39,13,6.5,42.39,92,0,4
870,PA de Silva,308,296,30,9284,145,34.9,81.13,11443,64,17
871,PC de Silva,7,7,1,94,44,15.66,83.92,112,0,0
872,SKL de Silva,11,6,3,161,57,53.66,83.41,193,2,0
873,HDPK Dharmasena,141,87,33,1222,69,22.62,65.03,1879,4,2
874,RL Dias,58,55,5,1573,121,31.46,67.94,2315,11,3
875,N Dickwella,55,52,1,1604,116,31.45,93.41,1717,9,1
876,LHD Dilhara,9,9,0,83,29,9.22,77.57,107,0,1
877,TM Dilshan,330,303,41,10290,161,39.27,86.23,11933,47,11
878,CI Dunusinghe,1,1,0,1,1,1,100,1,0,0
879,RMS Eranga,19,11,8,34,12,11.33,53.12,64,0,1
880,AM Fernando,5,2,1,1,1,1,16.66,6,0,1
881,N Pradeep,49,25,17,35,7,4.37,42.16,83,0,4
882,B Fernando,4,3,0,26,17,8.66,72.22,36,0,0
883,BOP Fernando,8,8,0,148,49,18.5,64.34,230,0,1
884,CRD Fernando,146,61,35,239,20,9.19,60.96,392,0,9
885,ER Fernando,3,3,0,47,22,15.66,71.21,66,0,0
886,ERNS Fernando,7,5,0,101,36,20.2,46.75,216,0,2
887,KHRK Fernando,7,5,3,43,23,21.5,59.72,72,0,0
888,MNK Fernando,4,4,0,75,50,18.75,71.42,105,1,0
889,MVT Fernando,8,8,6,30,7,15,49.18,61,0,1
890,TCB Fernando,17,10,6,29,14,7.25,49.15,59,0,1
891,TL Fernando,1,1,0,8,8,8,133.33,6,0,0
892,UNK Fernando,2,2,2,22,20,0,88,25,0,0
893,WIA Fernando,32,32,0,994,127,31.06,91.1,1091,5,4
894,IS Gallage,3,2,1,17,14,17,62.96,27,0,0
895,D Gamage,3,2,1,3,2,3,30,10,0,0
896,JC Gamage,4,2,2,8,7,0,88.88,9,0,0
897,PLS Gamage,9,5,3,4,3,2,14.81,27,0,0
898,WCA Ganegama,4,2,0,7,7,3.5,77.77,9,0,1
899,Y Goonasekera,3,3,0,69,35,23,66.34,104,0,0
900,HM Goonatilleke,6,4,3,31,14,31,53.44,58,0,0
901,DAS Gunaratne,31,25,4,575,114,27.38,79.41,724,1,0
902,PW Gunaratne,23,8,3,36,15,7.2,57.14,63,0,2
903,MD Gunathilaka,47,46,1,1601,133,35.57,86.82,1844,11,1
904,AAW Gunawardena,1,1,0,2,2,2,20,10,0,0
905,DA Gunawardene,61,61,1,1708,132,28.46,71.49,2389,12,5
906,AP Gurusinha,147,143,5,3902,117,28.27,60.88,6409,22,12
907,UC Hathurusingha,35,33,1,669,66,20.9,50.75,1318,4,3
908,MADI Hemantha,5,4,2,39,22,19.5,100,39,0,1
909,HMRKB Herath,71,30,15,140,17,9.33,64.51,217,0,3
910,PD Heyn,2,2,0,3,2,1.5,15,20,0,0
911,WS Jayantha,17,17,2,400,74,26.66,75.47,530,2,2
912,RSA Jayasekera,2,1,0,17,17,17,40.47,42,0,0
913,SA Jayasinghe,2,1,0,1,1,1,33.33,3,0,0
914,GSNFG Jayasuriya,12,10,1,195,96,21.66,71.42,273,1,2
915,NGRP Jayasuriya,2,2,1,11,11,11,84.61,13,0,1
916,ST Jayasuriya,441,429,18,13364,189,32.51,91.25,14645,68,34
917,DPMD Jayawardene,443,413,38,12381,144,33.01,78.67,15738,75,28
918,HAPW Jayawardene,6,5,0,27,20,5.4,61.36,44,0,1
919,P Jayawickrama,5,3,2,7,4,7,58.33,12,0,0
920,S Jeganathan,5,4,1,25,20,8.33,64.1,39,0,0
921,VB John,45,19,10,84,15,9.33,55.26,152,0,3
922,RS Kalpage,86,69,28,844,51,20.58,63.93,1320,1,2
923,S Randiv,31,18,2,280,56,17.5,73.29,382,1,2
924,LWS Kaluperuma,4,3,3,33,14,0,55,60,0,0
925,SMS Kaluperuma,2,2,0,11,7,5.5,26.82,41,0,0
926,RS Kaluwitharana,189,181,14,3711,102,22.22,77.7,4776,23,24
927,SHT Kandamby,39,36,6,870,93,29,69.6,1250,5,2
928,CK Kapugedera,102,84,7,1624,95,21.09,72.04,2254,8,7
929,SHU Karnain,19,17,5,229,41,19.08,59.32,386,0,2
930,C Karunaratne,26,24,6,451,75,25.05,78.43,575,1,0
931,FDM Karunaratne,50,46,4,1316,103,31.33,79.56,1654,11,4
932,CKB Kulasekara,4,3,0,38,19,12.66,52.77,72,0,1
933,KMDN Kulasekara,184,123,37,1327,73,15.43,81.46,1629,4,13
934,CBRLS Kumara,28,16,6,55,10,5.5,45.08,122,0,1
935,DSBP Kuruppu,54,52,1,1022,72,20.03,51.66,1978,4,3
936,GF Labrooy,44,36,7,249,33,8.58,71.14,350,0,6
937,RAS Lakmal,86,48,22,244,26,9.38,60.39,404,0,9
938,D Lakshan,3,2,0,4,2,2,30.76,13,0,0
939,MKGCP Lakshitha,7,2,1,7,4,7,58.33,12,0,0
940,J Liyanage,3,2,0,119,95,59.5,73.91,161,1,0
941,DK Liyanage,16,11,2,144,43,16,69.56,207,0,0
942,KS Lokuarachchi,21,18,3,210,69,14,80.15,262,1,2
943,RS Madugalle,63,56,5,950,73,18.62,60.35,1574,3,4
944,MAWR Madurasinghe,12,6,4,21,8,10.5,33.87,62,0,0
945,D Madushanka,18,10,8,36,19,18,47.36,76,0,0
946,DSK Madushanka,1,1,0,7,7,7,116.66,6,0,0
947,LD Madushanka,4,4,1,14,7,4.66,53.84,26,0,1
948,RS Mahanama,213,198,23,5162,119,29.49,60.57,8522,35,15
949,MF Maharoof,109,75,18,1113,69,19.52,86.01,1294,2,3
950,SL Malinga,226,119,36,567,56,6.83,74.5,761,1,26
951,AD Mathews,226,195,48,5916,139,40.24,82.9,7136,40,17
952,BAW Mendis,87,42,19,188,21,8.17,71.48,263,0,10
953,BKG Mendis,124,121,10,3638,122,32.77,86.78,4192,27,14
954,BMAJ Mendis,58,44,10,636,72,18.7,82.7,769,1,2
955,LRD Mendis,79,74,9,1527,80,23.49,75.07,2034,7,4
956,MC Mendis,1,1,1,3,3,0,150,2,0,0
957,PHKD Mendis,7,7,1,127,57,21.16,59.34,214,1,0
958,RTM Mendis,4,4,2,50,26,25,100,50,0,0
959,J Mubarak,40,37,6,704,72,22.7,63.13,1115,4,1
960,AMN Munasinghe,5,4,1,13,8,4.33,25,52,0,1
961,EMDY Munaweera,2,2,0,15,11,7.5,51.72,29,0,0
962,M Muralidaran,343,161,63,674,33,6.87,77.73,867,0,24
963,MN Nawaz,3,3,1,31,15,15.5,43.66,71,0,0
964,P Nissanka,49,49,4,1728,137,38.4,84.7,2040,13,4
965,RAP Nissanka,23,13,5,53,11,6.62,37.85,140,0,2
966,ARM Opatha,5,3,0,29,18,9.66,52.72,55,0,1
967,SP Pasqual,2,2,1,24,23,24,85.71,28,0,0
968,M Pathirana,12,7,2,11,5,2.2,31.42,35,0,2
969,SS Pathirana,18,14,1,332,56,25.53,86.68,383,1,0
970,AK Perera,6,4,0,52,31,13,62.65,83,0,0
971,ASA Perera,20,13,2,195,56,17.72,75.87,257,1,1
972,MDK Perera,13,12,0,152,30,12.66,76.38,199,0,0
973,MDKJ Perera,116,111,5,3237,135,30.53,92.88,3485,17,12
974,NLTC Perera,166,133,16,2338,140,19.98,112.08,2086,10,11
975,PARP Perera,2,2,0,33,33,16.5,56.89,58,0,1
976,PDRL Perera,19,7,2,8,4,1.6,44.44,18,0,4
977,HSM Pieris,3,3,1,19,16,9.5,32.2,59,0,0
978,Pramod Madushan,3,3,0,17,15,5.66,27.86,61,0,0
979,KTGD Prasad,24,12,6,129,31,21.5,88.35,146,0,1
980,S Prasanna,40,37,3,421,95,12.38,94.6,445,2,7
981,SMA Priyanjan,23,20,2,420,74,23.33,80.45,522,2,0
982,KR Pushpakumara,31,9,5,36,14,9,69.23,52,0,2
983,M Pushpakumara,3,1,1,7,7,0,36.84,19,0,0
984,PM Pushpakumara,2,2,0,11,8,5.5,42.3,26,0,0
985,PBB Rajapaksa,5,5,0,89,65,17.8,104.7,85,1,3
986,CAK Rajitha,34,19,7,117,33,9.75,63.58,184,0,4
987,CPH Ramanayake,62,35,14,210,26,10,56.14,374,0,7
988,AN Ranasinghe,9,8,1,153,51,21.85,104.08,147,1,2
989,SK Ranasinghe,4,3,0,55,41,18.33,67.9,81,0,1
990,A Ranatunga,269,255,47,7456,131,35.84,77.9,9571,49,18
991,D Ranatunga,4,4,0,49,25,12.25,31.41,156,0,1
992,S Ranatunga,13,11,0,253,70,23,48.09,526,2,0
993,RJ Ratnayake,70,55,18,612,33,16.54,86.8,705,0,4
994,JR Ratnayeke,78,69,14,824,50,14.98,52.45,1571,1,4
995,MAR Samarasekera,39,39,2,844,76,22.81,69.92,1207,4,2
996,DP Samaraweera,5,4,0,91,49,22.75,53.84,169,0,0
997,TT Samaraweera,53,42,11,862,105,27.8,69.29,1244,0,4
998,S Samarawickrama,35,32,4,1047,108,37.39,95.44,1097,7,4
999,PADLR Sandakan,31,19,7,64,16,5.33,45.71,140,0,4
1000,KC Sangakkara,397,373,40,13975,169,41.96,78.88,17717,90,15
1001,CP Senanayake,7,7,0,126,27,18,59.71,211,0,1
1002,SMSM Senanayake,49,33,11,290,42,13.18,93.24,311,0,6
1003,MD Shanaka,71,63,5,1299,108,22.39,91.47,1420,4,6
1004,KJ Silva,1,1,1,1,1,0,100,1,0,0
1005,LPC Silva,75,62,7,1587,107,28.85,70.4,2254,13,6
1006,SAR Silva,20,20,0,441,85,22.05,52.62,838,3,1
1007,TAM Siriwardana,27,24,1,516,66,22.43,98.28,525,3,1
1008,APB Tennekoon,4,4,0,137,59,34.25,66.18,207,1,1
1009,WU Tharanga,234,222,17,6941,174,33.85,75.99,9134,37,17
1010,M Theekshana,38,22,8,248,38,17.71,55.85,444,0,4
1011,HDRL Thirimanne,127,106,14,3194,139,34.71,72.27,4420,21,7
1012,T Thushara,38,27,6,392,54,18.66,92.45,424,1,4
1013,HP Tillakaratne,200,168,40,3789,104,29.6,57.51,6588,13,10
1014,MH Tissera,3,3,0,78,52,26,53.06,147,1,0
1015,I Udana,21,18,4,237,78,16.92,95.18,249,1,2
1016,ML Udawatte,9,9,0,257,73,28.55,67.1,383,2,1
1017,KEA Upashantha,12,8,1,49,15,7,56.97,86,0,0
1018,WPUJC Vaas,321,219,72,2018,50,13.72,72.45,2785,1,25
1019,JDF Vandersay,22,14,4,111,25,11.1,47.63,233,0,2
1020,MG Vandort,1,1,0,48,48,48,41.02,117,0,0
1021,KDK Vithanage,6,6,1,75,27,15,83.33,90,0,0
1022,DM Vonhagt,1,1,0,8,8,8,47.05,17,0,0
1023,B Warnapura,12,12,0,180,77,15,43.37,415,1,1
1024,SM Warnapura,3,3,0,35,30,11.66,46.05,76,0,1
1025,KPJ Warnaweera,6,3,3,1,1,0,9.09,11,0,0
1026,AP Weerakkody,1,1,0,2,2,2,50,4,0,0
1027,DS Weerakkody,3,3,0,73,58,24.33,110.6,66,1,0
1028,K Weeraratne,15,9,1,160,41,20,90.39,177,0,0
1029,UWMBCA Welegedara,10,3,2,4,2,4,44.44,9,0,0
1030,DN Wellalage,18,15,3,207,42,17.25,76.95,269,0,3
1031,MD Wettimuny,1,1,0,2,2,2,18.18,11,0,0
1032,S Wettimuny,35,33,1,786,86,24.56,48.04,1636,4,1
1033,SRD Wettimuny,3,3,1,136,67,68,56.19,242,2,0
1034,RPAH Wickramaratne,3,2,0,4,3,2,66.66,6,0,0
1035,GP Wickramasinghe,134,64,24,344,32,8.6,63.35,543,0,12
1036,AGD Wickremasinghe,4,1,0,2,2,2,20,10,0,0
1037,KIW Wijegunawardene,26,12,5,20,8,2.85,36.36,55,0,4
1038,RGCE Wijesuriya,8,3,2,18,12,18,37.5,48,0,1
1039,DNT Zoysa,95,47,21,343,47,13.19,95.81,358,0,5
1040,JC Adams,127,105,28,2204,82,28.62,60.98,3614,14,7
1041,Akeem Jordan,2,1,1,3,3,0,50,6,0,0
1042,FA Allen,20,16,3,200,51,15.38,98.52,203,1,2
1043,SW Ambris,16,15,2,473,148,36.38,95.74,494,2,0
1044,CEL Ambrose,176,96,36,639,31,10.65,64.87,985,0,13
1045,HAG Anthony,3,3,0,23,21,7.66,104.54,22,0,1
1046,KLT Arthurton,105,93,20,1904,84,26.08,67.46,2822,9,12
1047,A Athanaze,7,7,0,240,66,34.28,95.23,252,2,0
1048,RA Austin,1,1,0,8,8,8,61.53,13,0,0
1049,SFAF Bacchus,29,26,3,612,80,26.6,65.94,928,3,2
1050,LS Baker,10,4,2,13,11,6.5,56.52,23,0,1
