SR NO.,Player,Match,Inns,NOT OUT,Runs,HS,Ave,SR,BF,100,50
332,MA Starc,121,71,25,571,52,12.41,79.41,719,1,11
333,MP Stoinis,70,63,8,1487,146,27.03,94.95,1566,6,5
334,AM Stuart,3,1,0,1,1,1,14.28,7,0,0
335,MJ Swepson,3,1,0,2,2,2,100,2,0,0
336,A Symonds,198,161,33,5088,156,39.75,92.44,5504,30,15
337,SW Tait,35,7,5,25,11,12.5,86.2,29,0,1
338,MA Taylor,113,110,1,3514,105,32.23,59.47,5909,28,4
339,PL Taylor,83,47,25,437,54,19.86,74.95,583,1,4
340,JR Thomson,50,30,6,181,21,7.54,64.64,280,0,5
341,PM Toohey,5,4,2,105,54,52.5,78.94,133,1,0
342,CP Tremain,4,3,2,23,23,23,62.16,37,0,1
343,GS Trimble,2,2,1,4,4,4,80,5,0,0
344,A Turner,6,6,0,247,101,41.16,79.93,309,0,0
345,AJ Turner,9,7,1,192,84,32,120,160,1,0
346,AJ Tye,7,7,3,57,19,14.25,118.75,48,0,0
347,MRJ Veletta,20,19,4,484,68,32.26,75.38,642,2,2
348,AC Voges,31,28,9,870,112,45.78,87.17,998,4,0
349,MS Wade,97,83,12,1867,100,26.29,81.59,2288,11,5
350,MHN Walker,17,11,3,79,20,9.87,46.47,170,0,1
351,KD Walters,28,24,6,513,59,28.5,70.08,732,2,1
352,SK Warne,193,106,28,1016,55,13.02,72,1411,1,10
353,DA Warner,161,159,6,6932,179,45.3,97.26,7127,33,4
354,GD Watson,2,2,1,11,11,11,68.75,16,0,1
355,SR Watson,190,169,27,5757,185,40.54,90.44,6366,33,12
356,ME Waugh,244,236,20,8500,173,39.35,76.9,11053,50,16
357,SR Waugh,325,288,58,7569,120,32.9,75.91,9971,45,15
358,DM Wellham,17,17,2,379,97,25.26,54.22,699,1,0
359,KC Wessels,54,51,3,1740,107,36.25,59.08,2945,14,0
360,DF Whatmore,1,1,0,2,2,2,33.33,6,0,0
361,CL White,91,77,16,2072,105,33.96,80.12,2586,11,4
362,MR Whitney,38,13,7,40,9,6.66,44.44,90,0,1
363,JM Wiener,7,7,0,140,50,20,43.2,324,1,0
364,BA Williams,25,6,4,27,13,13.5,58.69,46,0,2
365,P Wilson,11,5,2,4,2,1.33,30.76,13,0,2
366,GM Wood,83,77,11,2219,114,33.62,59.57,3725,11,4
367,AJ Woodcock,1,1,0,53,53,53,79.1,67,1,0
368,RD Woolley,4,3,2,31,16,31,81.57,38,0,0
369,DJ Worrall,3,1,1,6,6,0,150,4,0,0
370,KJ Wright,5,2,0,29,23,14.5,55.76,52,0,0
371,GN Yallop,30,27,6,823,66,39.19,63.89,1288,7,1
372,B Yardley,7,4,0,58,28,14.5,59.18,98,0,1
373,BE Young,6,3,1,31,18,15.5,65.95,47,0,0
374,A Zampa,96,47,17,285,36,9.5,65.66,434,0,5
375,AK Zesers,2,2,2,10,8,0,71.42,14,0,0
376,TJ Zoehrer,22,15,3,130,50,10.83,71.03,183,1,2
377,CJ Adams,5,4,0,71,42,17.75,49.3,144,0,0
378,JP Agnew,3,1,1,2,2,0,66.66,3,0,0
379,Rehan Ahmed,6,4,0,35,15,8.75,76.08,46,0,0
380,Kabir Ali,14,9,3,93,39,15.5,86.11,108,0,2
381,MM Ali,138,112,15,2355,128,24.27,98.16,2399,6,6
382,MW Alleyne,10,8,1,151,53,21.57,59.21,255,1,0
383,PJW Allott,13,6,1,15,8,3,60,25,0,2
384,TR Ambrose,5,5,1,10,6,2.5,29.41,34,0,1
385,DL Amiss,18,18,0,859,137,47.72,72.48,1185,1,0
386,JM Anderson,194,79,43,273,28,7.58,48.66,561,0,10
387,JC Archer,21,11,6,32,8,6.4,66.66,48,0,2
388,GG Arnold,14,6,3,48,18,16,64,75,0,1
389,MA Atherton,54,54,3,1791,127,35.11,58.64,3054,12,4
390,CWJ Athey,31,30,3,848,142,31.4,56.72,1495,4,1
391,AAP Atkinson,9,6,2,63,35,15.75,126,50,0,1
392,ID Austin,9,6,1,34,11,6.8,69.38,49,0,0
393,RJ Bailey,4,4,2,137,43,68.5,69.89,196,0,0
394,DL Bairstow,21,20,6,206,23,14.71,52.82,390,0,1
395,JM Bairstow,107,98,8,3868,141,42.97,102.92,3758,17,9
396,JT Ball,18,6,2,38,28,9.5,77.55,49,0,2
397,GS Ballance,16,15,1,297,79,21.21,67.04,443,2,1
398,T Banton,6,5,0,134,58,26.8,92.41,145,1,0
399,GD Barlow,6,6,1,149,80,29.8,58.43,255,1,2
400,KJ Barnett,1,1,0,84,84,84,57.53,146,1,0
401,GJ Batty,10,8,2,30,17,5,41.09,73,0,1
402,IR Bell,161,157,14,5416,141,37.87,77.16,7019,35,6
403,MR Benson,1,1,0,24,24,24,41.37,58,0,0
404,MP Bicknell,7,6,2,96,31,24,92.3,104,0,0
405,SW Billings,28,23,2,702,118,33.42,91.05,771,5,1
406,ID Blackwell,34,29,2,403,82,14.92,86.66,465,1,6
407,RJ Blakey,3,2,0,25,25,12.5,50,50,0,1
408,RS Bopara,120,109,21,2695,101,30.62,77.84,3462,14,4
409,SG Borthwick,2,2,0,18,15,9,112.5,16,0,0
410,IT Botham,116,106,15,2113,79,23.21,79.1,2671,9,6
411,G Boycott,36,34,4,1082,105,36.06,53.56,2020,9,1
412,JM Brearley,25,24,3,510,78,24.28,45.53,1120,3,6
413,TT Bresnan,85,64,20,871,80,19.79,90.25,965,1,6
414,BC Broad,34,34,0,1361,106,40.02,55.61,2447,11,2
415,SCJ Broad,121,68,25,529,45,12.3,74.61,709,0,8
416,HC Brook,15,15,1,407,80,29.07,94.87,429,3,1
417,AD Brown,16,16,0,354,118,22.12,82.9,427,1,2
418,DR Brown,9,8,4,99,21,24.75,69.23,143,0,0
419,AR Butcher,1,1,0,14,14,14,53.84,26,0,0
420,RO Butcher,3,3,0,58,52,19.33,85.29,68,1,0
421,JC Buttler,181,154,27,5022,162,39.54,117.11,4288,26,14
422,AR Caddick,54,38,18,249,36,12.45,63.03,395,0,6
423,DJ Capel,23,19,2,327,50,19.23,68.26,479,1,0
424,MA Carberry,6,6,0,114,63,19,63.33,180,1,0
425,BA Carse,14,9,4,155,32,31,96.27,161,0,0
426,G Chapple,1,1,0,14,14,14,200,7,0,0
427,R Clarke,20,13,0,144,39,11.07,62.06,232,0,2
428,DB Close,3,3,0,49,43,16.33,98,50,0,0
429,PD Collingwood,197,181,37,5092,120,35.36,76.98,6615,26,7
430,AN Cook,92,92,4,3204,137,36.4,77.13,4154,19,7
431,G Cook,6,6,0,106,32,17.66,40.61,261,0,0
432,GA Cope,2,1,1,1,1,0,100,1,0,0
433,DG Cork,32,21,3,180,31,10,66.42,271,0,4
434,NG Cowans,23,8,3,13,4,2.6,44.82,29,0,3
435,CS Cowdrey,3,3,1,51,46,25.5,110.86,46,0,1
436,MC Cowdrey,1,1,0,1,1,1,20,5,0,0
437,JP Crawley,13,12,1,235,73,21.36,57.59,408,2,2
438,Z Crawley,8,8,1,199,58,28.42,97.07,205,2,3
439,RDB Croft,50,36,12,345,32,14.37,66.47,519,0,4
440,SM Curran,32,24,3,468,95,22.28,95.7,489,1,1
441,TK Curran,28,17,9,303,47,37.87,94.39,321,0,2
442,JWM Dalrymple,27,26,1,487,67,19.48,72.47,672,2,2
443,SM Davies,8,8,0,244,87,30.5,105.62,231,1,1
444,LA Dawson,6,5,0,63,20,12.6,85.13,74,0,0
445,PAJ DeFreitas,103,66,23,690,67,16.04,83.83,823,1,4
446,JL Denly,16,13,0,446,87,34.3,70.9,629,4,0
447,MH Denness,12,11,2,264,66,29.33,63.3,417,1,1
448,JW Dernbach,24,8,1,19,5,2.71,48.71,39,0,1
449,GR Dilley,36,18,8,114,31,11.4,85.71,133,0,2
450,BL D'Oliveira,4,4,1,30,17,10,69.76,43,0,0
